Date,icsa_weekly,nfci_weekly,dtwexbgs,dtwexm,covid_2020q2,covid_2020q3,covid_2020q4
1975-07-19,-0.0022446698538232113,-0.156,,0.009253280080762316,0,0,0
1975-07-26,0.020022915875106406,-0.147,,0.00432860736627827,0,0,0
1975-08-02,0.0,-0.134,,0.007532900035422507,0,0,0
1975-08-09,0.010953012019198738,-0.118,,0.0040527398054805985,0,0,0
1975-08-16,-0.03322564762832059,-0.097,,0.0007575277896130217,0,0,0
1975-08-23,0.028858828461979513,-0.071,,-0.001287662023241154,0,0,0
1975-08-30,-0.02436443887414086,-0.042,,0.0003737929249814087,0,0,0
1975-09-06,0.0022396425935049535,-0.009,,-0.00029749730612493863,0,0,0
1975-09-13,0.01993421490081637,0.025,,0.0012094613939215293,0,0,0
1975-09-20,-0.051755081511895895,0.059,,0.009148753967590295,0,0,0
1975-09-27,0.02733655416375136,0.091,,0.005286559950000935,0,0,0
